Template Name,Alternate Template Name
12 Month,Stabilized Bridge 1 to 4
12 Month with Holdback,Bridge Rehab 1 to 4
Ground Up Construction,Ground Up Construction(No Change)
DSCR SFR,DSCR SFR 1 to 4
DSCR Portfolio,DSCR Portfolio 1 to 4
NY Building Loan,NY Building Loan(No Change)
CEMA RTL,NY CEMA RTL
CEMA DSCR,CEMA DSCR(No Change)
Commercial,Stabilized Bridge 5+ Unit
Commercial with Holdback,Bridge Rehab 5+
Commercial DSCR SFR,DSCR 1 to 4
Commercial DSCR Portfolio,DSCR Portfolio 5+
