Template,Type,Short code,Category,Prior to,Active?,Where it prints,Description (staff),Description (borrower)
MIC / LGC,Post-Closing,PC,Miscellaneous,Purchase,yes,ExternalPrint | InternalPrint,Mortgage Insurance Certificate / Loan Guaranty Certificate,Mortgage Insurance Certificate / Loan Guaranty Certificate
VOD - Verification of Deposit,Underwriting,UW,Assets,Approval,yes,ExternalPrint | InternalPrint,Provide written verification of deposit evidencing a minimum of $_______  available.  Prove source of any large increases in average balance.,Provide written verification of deposit evidencing a minimum of $_______  available.  Prove source of any large increases in average balance.
Order CDA,Underwriting,UW,Property,Approval,yes,InternalPrint,,
"FHA/V.A - Builder's Cert of Plans, Specs & Site",Underwriting,UW,Property,Approval,yes,ExternalPrint,,"FHA/V.A. Builder's Certification of Plans, Specifications & Site"
VA - Repairs Completed,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Provide evidence that all required repairs have been completed and certified by the appraiser.
Change of Circumstance (COC),Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,,"Provide all required Change of Circumstance (COC) documentation supporting any changes to APR, fees, loan terms, loan amount, or borrower-paid items. Re-disclosure must be issued and acknowledged within compliance timing prior to closing."
Alimony/Child Support,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide a copy of the written legal agreement or court decree stating the terms of the child support or alimony income.  Also provide copies of six months bank statements or canceled checks to verify receipt.
DocuSign Package - ,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint | InternalPrint,,A DocuSign folder has also been sent separately. Please review and sign all documents included.
Bankruptcy,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,,Provide documentation verifying the bankruptcy terms and satisfied/discharge dates.
Liens Against Subject Property,Closing,CL,Property,Closing,yes,ExternalPrint,,Provide evidence that all liens against subject property have been paid in full.
Second Appraisal Required,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,Additional appraisal is required to process this application for approval. An appraiser will be in contact with the borrower to schedule an appointment in order to complete the required appraisal on the subject property.,Additional appraisal is required to process this application for approval. An appraiser will be in contact with the borrower to schedule an appointment in order to complete the required appraisal on the subject property.
AHL Appraisal,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint | InternalPrint,,"Appraisal report on FNMA form 1004|1025/SFR/PUD report with XML, AIR, SSRs, License, E&O, and rental addendum (if applicable). (If Condo – use 1073; do not add this condition.) Appraiser to provide 1007 rent schedule.Provide proof of delivery of appraisal report and any subsequent appraisal to borrower. If delivered electronically, record of borrower e-consent must be on file. If closing in the name of a LLC the appraisal to be in the name of the entity."
Title Endorsements Required,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,The following endorsements are required on the title policy:,The following endorsements are required on the title policy:
Occupancy Affidavit,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint | InternalPrint,,Occupancy Affidavit to be completed and signed by all borrowers.
Contacts confirmation - ,Preliminary,Pre,Miscellaneous,Submittal,yes,ExternalPrint | InternalPrint,"Title, Insurance contacts",Please confirm your preferred title company and provide your insurance agent’s contact information
Retirement Account Withdrawal Terms,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Provide documentation verifying the terms for withdrawals from the retirement account.
Stock Statements,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,"Provide the most recent stock or bond brokerage statement to verify assets required for down payment, closing costs, and/or reserves. If the funds will be used for down payment or closing costs, additional documentation may be required."
Appraisal,Underwriting,YSCAP,Property,Docs,yes,InternalPrint | ExternalPrint,,"Appraisal report on FNMA form 1004|1025/SFR/PUD report with XML, AIR, SSRs, License, E&O, and rental addendum (if applicable). (If Condo – use 1073; do not add this condition.) Appraiser to provide 1007 rent schedule.Provide proof of delivery of appraisal report and any subsequent appraisal to borrower. If delivered electronically, record of borrower e-consent must be on file."
Rate and Term Benefit,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,Oaktree ONLY,Net tangible benefit form to be completed.
Insurance Agent Contact - ,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint | InternalPrint,,Please provide your insurance agent’s contact information.
1099 Statements,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide copies of 1099s for previous 2 years
