Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
QM.X66,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Balloon Payment,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X66,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Balloon Payment,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,0,
QM.X67,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Prepayment Penalty,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,329,
QM.X67,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Prepayment Penalty,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,161,
QM.X67,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Prepayment Penalty,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,0,
QM.X68,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Points and Fees Limit,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,141,
QM.X68,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Points and Fees Limit,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,348,
QM.X68,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Points and Fees Limit,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,1,
QM.X69,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Debt to Income Ratio,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X69,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Debt to Income Ratio,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X69,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Debt to Income Ratio,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X70,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Residual Income,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X70,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Residual Income,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X70,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Residual Income,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X71,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Covered Loan,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X71,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Covered Loan,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X71,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Covered Loan,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X72,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Simultaneous Loan,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X72,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Simultaneous Loan,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X72,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Simultaneous Loan,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X73,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Mtg. Related Obligations,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X73,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Mtg. Related Obligations,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X73,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Mtg. Related Obligations,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X75,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Employment,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
QM.X75,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Employment,standard,String,STRING,Not Meet,Not Meet,declared by Encompass,0,
QM.X75,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Employment,standard,String,STRING,Review Needed,Reviewed,declared by Encompass,490,
QM.X76,ATR QM - Eligibility - GSE/Agency Qualified Mortgage - Income,standard,String,STRING,Meets Standard,Meets Standard,declared by Encompass,0,
