Field ID,Label,Kind,Data type,Format,Option value,Option text,Where this option came from,Long-term loans using it,Known drift
SYS.X252,Fees Loan Origination Fee Paid To,standard,String,STRING,Affiliate,A,declared by Encompass,0,
SYS.X252,Fees Loan Origination Fee Paid To,standard,String,STRING,Other,O,declared by Encompass,0,
SYS.X262,Fees MI Applic Fee Paid To,standard,String,STRING,Broker,B,declared by Encompass,0,
SYS.X262,Fees MI Applic Fee Paid To,standard,String,STRING,Lender,L,declared by Encompass,489,
SYS.X262,Fees MI Applic Fee Paid To,standard,String,STRING,Seller,S,declared by Encompass,0,
SYS.X262,Fees MI Applic Fee Paid To,standard,String,STRING,Investor,I,declared by Encompass,0,
SYS.X262,Fees MI Applic Fee Paid To,standard,String,STRING,Affiliate,A,declared by Encompass,0,
SYS.X262,Fees MI Applic Fee Paid To,standard,String,STRING,Other,O,declared by Encompass,0,
SYS.X290,Fees Line 820 Paid To,standard,String,STRING,Broker,B,declared by Encompass,0,
SYS.X290,Fees Line 820 Paid To,standard,String,STRING,Lender,L,declared by Encompass,489,
SYS.X290,Fees Line 820 Paid To,standard,String,STRING,Seller,S,declared by Encompass,0,
SYS.X290,Fees Line 820 Paid To,standard,String,STRING,Investor,I,declared by Encompass,0,
SYS.X290,Fees Line 820 Paid To,standard,String,STRING,Affiliate,A,declared by Encompass,0,
SYS.X290,Fees Line 820 Paid To,standard,String,STRING,Other,O,declared by Encompass,0,
SYS.X37,Fees Line 820 APR,standard,Boolean,YN,Y,Yes,declared by Encompass,489,boolean-representation
SYS.X37,Fees Line 820 APR,standard,Boolean,YN,N,No,declared by Encompass,0,boolean-representation
ULDD.GNM.MortgageOriginator,Trans Details Mtg Originator,standard,String,STRING,Broker,Broker,declared by Encompass,0,
ULDD.GNM.MortgageOriginator,Trans Details Mtg Originator,standard,String,STRING,Lender,Lender,declared by Encompass,0,
ULDD.GNM.MortgageOriginator,Trans Details Mtg Originator,standard,String,STRING,Correspondent,Correspondent,declared by Encompass,489,
ULDD.X197,ULDD - Property Estate Type,standard,String,STRING,FeeSimple,Fee Simple,declared by Encompass,489,
