Field ID,Label,Milestone,Filled at this milestone (%)
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Cond. Approval,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Docs Out,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Final Docs,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Investor Delivery,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,LO Prep,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Loan Setup,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Purchasing Conditions,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Started,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Submittal,100
ULDD.FNM.FloodSpecialFeatureCode,ULDD Fannie Flood Special Feature Code,Waiting for Docs,100
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Completion,2.4
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Cond. Approval,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Docs Out,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Final Docs,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Investor Delivery,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,LO Prep,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Loan Setup,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Purchasing Conditions,9.9
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Started,0
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Submittal,3
ULDD.FNM.HMDA.X15,ULDD Trans Details Rate Spread,Waiting for Docs,0
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Completion,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Cond. Approval,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Docs Out,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Final Docs,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Investor Delivery,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,LO Prep,92.9
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Loan Setup,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Purchasing Conditions,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Started,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Submittal,100
ULDD.FNM.MORNET.X75,ULDD Fannie Mae MORNETPlus LTV,Waiting for Docs,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Completion,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Cond. Approval,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Docs Out,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Final Docs,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Investor Delivery,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,LO Prep,92.9
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Loan Setup,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Purchasing Conditions,100
