Field ID,Label,Milestone,Filled at this milestone (%)
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Started,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Submittal,100
ULDD.FNM.MORNET.X76,ULDD Fannie Mae MORNETPlus CLTV,Waiting for Docs,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Completion,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Cond. Approval,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Docs Out,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Final Docs,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Investor Delivery,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,LO Prep,92.9
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Loan Setup,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Purchasing Conditions,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Started,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Submittal,100
ULDD.FNM.MORNET.X77,ULDD Fannie Mae MORNETPlus HCLTV and HTLTV,Waiting for Docs,100
ULDD.FNM.PropertyFormType,Property Valuation Form Type,Investor Delivery,100
ULDD.FNM.PropertyFormType,Property Valuation Form Type,Purchasing Conditions,100
ULDD.FNM.PropertyFormType,Property Valuation Form Type,Submittal,100
ULDD.FNM.X1172,Trans Details Loan Type,Completion,100
ULDD.FNM.X1172,Trans Details Loan Type,Cond. Approval,100
ULDD.FNM.X1172,Trans Details Loan Type,Docs Out,100
ULDD.FNM.X1172,Trans Details Loan Type,Final Docs,100
ULDD.FNM.X1172,Trans Details Loan Type,Investor Delivery,100
ULDD.FNM.X1172,Trans Details Loan Type,LO Prep,100
ULDD.FNM.X1172,Trans Details Loan Type,Loan Setup,100
ULDD.FNM.X1172,Trans Details Loan Type,Purchasing Conditions,100
ULDD.FNM.X1172,Trans Details Loan Type,Started,100
ULDD.FNM.X1172,Trans Details Loan Type,Submittal,100
ULDD.FNM.X1172,Trans Details Loan Type,Waiting for Docs,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Completion,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Cond. Approval,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Docs Out,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Final Docs,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Investor Delivery,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,LO Prep,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Loan Setup,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Purchasing Conditions,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Started,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Submittal,100
ULDD.FRD.CASASRN.X217,ULDD Freddie Mac LTV,Waiting for Docs,100
ULDD.FRD.CASASRN.X218,ULDD Freddie Mac TLTV,Completion,100
ULDD.FRD.CASASRN.X218,ULDD Freddie Mac TLTV,Cond. Approval,100
ULDD.FRD.CASASRN.X218,ULDD Freddie Mac TLTV,Docs Out,100
ULDD.FRD.CASASRN.X218,ULDD Freddie Mac TLTV,Final Docs,100
